arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [3, 5, 5, 3, 3, 3, 7, 5, 7, 7, 5, 5, 7, 3, 3, 3, 5, 3, 3, 5], 'e': [3, 3, 4, 3, 3, 6, 3, 3, 6, 6, 4, 6, 3, 6, 3, 4, 4, 4, 3, 4], 'd': [4, 2, 4, 4, 3], 'r': [224]}",18.85,52.5
"{'wid': None, 'ks': [5, 7, 3, 3, 3, 5, 7, 3, 3, 3, 3, 3, 7, 7, 5, 3, 7, 3, 7, 7], 'e': [4, 4, 3, 3, 3, 4, 4, 4, 4, 6, 3, 4, 6, 3, 4, 3, 4, 4, 3, 3], 'd': [4, 3, 2, 3, 4], 'r': [176]}",15.23,40.51
"{'wid': None, 'ks': [3, 7, 7, 7, 7, 5, 7, 5, 7, 3, 7, 3, 5, 7, 7, 3, 7, 7, 7, 5], 'e': [3, 4, 3, 4, 3, 4, 4, 4, 6, 3, 3, 6, 4, 6, 6, 6, 4, 4, 3, 6], 'd': [2, 3, 2, 3, 2], 'r': [160]}",12.2,30.7
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 3, 5, 5, 5, 3, 3, 7, 5, 5, 7, 5, 5, 3, 3, 3], 'e': [3, 3, 3, 3, 3, 6, 6, 6, 3, 3, 6, 4, 3, 6, 3, 6, 3, 4, 4, 4], 'd': [4, 3, 4, 4, 4], 'r': [192]}",17.39,47.8
"{'wid': None, 'ks': [7, 3, 3, 7, 5, 7, 7, 3, 7, 7, 7, 7, 7, 5, 3, 5, 7, 3, 5, 7], 'e': [3, 4, 4, 6, 3, 4, 4, 4, 3, 4, 6, 6, 6, 3, 6, 3, 4, 4, 4, 3], 'd': [3, 4, 2, 3, 3], 'r': [160]}",13.89,37.14
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 3, 7, 5, 3, 5, 5, 7, 3, 3, 3, 5, 5, 7, 7], 'e': [4, 4, 4, 6, 6, 3, 3, 4, 4, 6, 4, 4, 4, 4, 6, 3, 6, 6, 3, 6], 'd': [2, 3, 4, 4, 3], 'r': [192]}",14.78,42.4
"{'wid': None, 'ks': [7, 7, 3, 3, 7, 7, 3, 5, 7, 3, 7, 7, 3, 3, 7, 7, 3, 7, 7, 3], 'e': [4, 4, 6, 3, 4, 3, 3, 3, 6, 3, 6, 4, 3, 4, 6, 6, 3, 3, 3, 4], 'd': [3, 4, 3, 3, 3], 'r': [224]}",14.48,46.49
"{'wid': None, 'ks': [7, 3, 5, 5, 3, 7, 5, 3, 7, 5, 5, 5, 7, 7, 3, 5, 3, 7, 7, 7], 'e': [3, 4, 4, 6, 6, 4, 3, 4, 3, 6, 6, 3, 6, 6, 4, 4, 3, 4, 6, 3], 'd': [3, 3, 4, 3, 2], 'r': [160]}",13.62,34.1
"{'wid': None, 'ks': [5, 5, 3, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 7, 3, 3, 3], 'e': [6, 4, 4, 4, 3, 3, 3, 4, 6, 4, 6, 6, 6, 4, 4, 6, 4, 4, 3, 3], 'd': [3, 3, 3, 3, 4], 'r': [176]}",15.03,39.13
"{'wid': None, 'ks': [3, 7, 3, 3, 7, 7, 7, 5, 7, 7, 7, 7, 3, 7, 3, 7, 3, 7, 5, 7], 'e': [4, 4, 6, 3, 4, 3, 3, 4, 3, 3, 6, 4, 6, 4, 4, 4, 3, 6, 3, 3], 'd': [4, 2, 2, 3, 2], 'r': [208]}",11.75,39.39
"{'wid': None, 'ks': [7, 3, 5, 7, 3, 5, 7, 5, 7, 3, 5, 3, 7, 5, 5, 7, 5, 3, 7, 5], 'e': [3, 4, 3, 6, 3, 6, 4, 6, 4, 6, 6, 4, 3, 6, 6, 3, 6, 4, 3, 4], 'd': [3, 4, 4, 3, 3], 'r': [176]}",15.74,40.88
"{'wid': None, 'ks': [7, 7, 7, 7, 5, 5, 7, 5, 3, 5, 5, 5, 7, 7, 7, 7, 3, 5, 7, 7], 'e': [4, 6, 3, 6, 3, 4, 4, 4, 4, 4, 6, 3, 3, 3, 6, 4, 3, 6, 6, 3], 'd': [3, 2, 2, 3, 2], 'r': [176]}",11.16,31.62
"{'wid': None, 'ks': [3, 7, 3, 7, 7, 7, 7, 3, 3, 7, 5, 5, 3, 7, 3, 3, 7, 5, 7, 7], 'e': [3, 3, 4, 3, 6, 3, 3, 3, 6, 6, 6, 4, 3, 4, 3, 6, 4, 6, 4, 6], 'd': [3, 4, 3, 3, 3], 'r': [208]}",17.45,47.25
"{'wid': None, 'ks': [5, 7, 3, 3, 7, 5, 3, 7, 5, 3, 5, 7, 7, 3, 5, 3, 5, 5, 7, 7], 'e': [3, 3, 6, 4, 3, 3, 4, 4, 3, 3, 3, 4, 6, 3, 6, 4, 6, 3, 6, 3], 'd': [2, 2, 3, 3, 2], 'r': [192]}",11.98,36.34
"{'wid': None, 'ks': [7, 5, 3, 3, 3, 3, 5, 5, 3, 5, 3, 3, 5, 7, 7, 7, 7, 5, 7, 5], 'e': [3, 4, 6, 3, 6, 6, 4, 4, 3, 4, 4, 6, 4, 6, 6, 3, 3, 3, 6, 3], 'd': [4, 4, 4, 4, 4], 'r': [160]}",17.22,43.59
"{'wid': None, 'ks': [5, 7, 3, 5, 7, 7, 3, 7, 7, 5, 5, 7, 5, 3, 3, 7, 3, 3, 5, 7], 'e': [4, 4, 4, 3, 3, 6, 3, 3, 3, 6, 6, 6, 4, 6, 6, 3, 4, 3, 6, 4], 'd': [3, 4, 4, 3, 3], 'r': [192]}",14.81,42.94
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 7, 3, 7, 7, 7, 7, 5, 3, 3, 3, 7, 5, 3, 3, 5], 'e': [4, 4, 4, 4, 3, 6, 3, 4, 3, 3, 6, 4, 6, 6, 4, 4, 3, 6, 3, 4], 'd': [3, 4, 4, 2, 4], 'r': [176]}",15.2,40.44
"{'wid': None, 'ks': [3, 3, 7, 3, 7, 3, 7, 7, 5, 3, 7, 7, 7, 7, 3, 5, 3, 7, 5, 7], 'e': [4, 6, 4, 3, 6, 3, 4, 3, 3, 3, 6, 3, 6, 6, 6, 3, 4, 6, 3, 3], 'd': [4, 3, 2, 4, 2], 'r': [160]}",13.45,37.23
"{'wid': None, 'ks': [3, 5, 7, 3, 3, 7, 7, 5, 5, 3, 5, 5, 5, 5, 5, 5, 7, 3, 5, 3], 'e': [3, 4, 4, 4, 6, 6, 4, 6, 6, 6, 6, 6, 3, 4, 3, 6, 3, 6, 6, 4], 'd': [4, 3, 2, 4, 2], 'r': [192]}",13.31,42.16
"{'wid': None, 'ks': [5, 3, 5, 3, 7, 7, 7, 7, 7, 7, 5, 3, 7, 3, 3, 7, 5, 7, 7, 3], 'e': [6, 3, 3, 3, 3, 6, 3, 4, 3, 3, 4, 6, 3, 3, 6, 3, 4, 4, 3, 6], 'd': [3, 3, 3, 3, 3], 'r': [224]}",15.06,47.84
